trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
21743285,2019-01-01 13:42:36,2019-01-01 13:48:19,1616,343,300,Broadway & Barry Ave,324,Stockton Dr & Wrightwood Ave,Subscriber,Male,1966
21743286,2019-01-01 13:42:44,2019-01-01 13:51:24,2932,520,93,Sheffield Ave & Willow St,13,Wilton Ave & Diversey Pkwy,Subscriber,Male,1993
21743290,2019-01-01 13:44:23,2019-01-01 13:57:33,69,790,289,Wells St & Concord Ln,331,Halsted St & Clybourn Ave (*),Subscriber,Male,1993
21743291,2019-01-01 13:44:31,2019-01-01 13:57:33,6252,782,289,Wells St & Concord Ln,331,Halsted St & Clybourn Ave (*),Subscriber,Female,1993
21743292,2019-01-01 13:44:41,2019-01-01 13:53:53,2740,552,280,Morgan St & 31st St,403,Wentworth Ave & 33rd St,Subscriber,Male,1984
21743298,2019-01-01 13:47:25,2019-01-01 14:01:20,5026,835,329,Lake Shore Dr & Diversey Pkwy,163,Damen Ave & Clybourn Ave,Subscriber,Female,1989
21743299,2019-01-01 13:47:29,2019-01-01 13:51:17,5427,228,28,Larrabee St & Menomonee St,289,Wells St & Concord Ln,Subscriber,Male,1982
21743303,2019-01-01 13:48:27,2019-01-01 13:49:45,5384,78,115,Sheffield Ave & Wellington Ave,115,Sheffield Ave & Wellington Ave,Subscriber,Male,1990
21743304,2019-01-01 13:48:27,2019-01-01 14:14:33,5019,"1,566.00",324,Stockton Dr & Wrightwood Ave,256,Broadway & Sheridan Rd,Subscriber,Male,1993
21743305,2019-01-01 13:49:46,2019-01-01 14:02:58,2135,792,87,Racine Ave & Fullerton Ave,299,Halsted St & Roscoe St,Subscriber,Male,1992
21743306,2019-01-01 13:49:59,2019-01-01 13:56:27,4887,388,115,Sheffield Ave & Wellington Ave,157,Lake Shore Dr & Wellington Ave,Subscriber,Female,1991
21743307,2019-01-01 13:50:17,2019-01-01 13:56:22,2691,365,115,Sheffield Ave & Wellington Ave,157,Lake Shore Dr & Wellington Ave,Subscriber,Male,1990
21743308,2019-01-01 13:50:37,2019-01-01 14:01:52,408,675,289,Wells St & Concord Ln,53,Wells St & Huron St,Subscriber,Female,1988
21743309,2019-01-01 13:50:40,2019-01-01 13:57:28,1503,408,377,Kedzie Ave & Lake St,533,Central Park Blvd & 5th Ave,Subscriber,Male,1975
21743310,2019-01-01 13:50:54,2019-01-01 14:01:52,5993,658,289,Wells St & Concord Ln,53,Wells St & Huron St,Subscriber,Male,1990
21743311,2019-01-01 13:51:04,2019-01-01 13:56:44,5707,340,133,Kingsbury St & Kinzie St,81,Daley Center Plaza,Subscriber,Male,1975
21743313,2019-01-01 13:51:30,2019-01-01 14:00:48,3551,558,242,Damen Ave & Leland Ave,326,Clark St & Leland Ave,Subscriber,Male,1984
21743314,2019-01-01 13:52:14,2019-01-01 13:54:38,1765,144,331,Halsted St & Clybourn Ave (*),93,Sheffield Ave & Willow St,Subscriber,Male,1982
21743315,2019-01-01 13:52:25,2019-01-01 14:04:26,562,721,69,Damen Ave & Pierce Ave,659,Leavitt St & Chicago Ave,Subscriber,Female,1987
21743317,2019-01-01 13:52:35,2019-01-01 14:00:40,5877,485,300,Broadway & Barry Ave,332,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Male,1981
21743318,2019-01-01 13:53:12,2019-01-01 14:05:10,6162,718,295,Broadway & Argyle St,314,Ravenswood Ave & Berteau Ave,Subscriber,Male,1992
21743319,2019-01-01 13:53:36,2019-01-01 18:28:46,4829,"16,510.00",337,Clark St & Chicago Ave,620,Orleans St & Chestnut St (NEXT Apts),Customer,,
21743325,2019-01-01 13:55:25,2019-01-01 14:15:37,2884,"1,212.00",94,Clark St & Armitage Ave,71,Morgan St & Lake St,Subscriber,Male,1993
21743330,2019-01-01 13:57:18,2019-01-01 14:15:04,5461,"1,066.00",13,Wilton Ave & Diversey Pkwy,293,Broadway & Wilson Ave,Subscriber,Male,1986
21743331,2019-01-01 13:57:59,2019-01-01 14:11:13,134,794,254,Pine Grove Ave & Irving Park Rd,115,Sheffield Ave & Wellington Ave,Subscriber,Male,1953
21743332,2019-01-01 13:58:27,2019-01-01 14:14:16,4686,949,182,Wells St & Elm St,112,Green St & Randolph St,Subscriber,Male,1976
21743333,2019-01-01 13:58:35,2019-01-01 14:09:07,1654,632,620,Orleans St & Chestnut St (NEXT Apts),125,Rush St & Hubbard St,Customer,,
21743334,2019-01-01 13:56:34,2019-01-01 14:05:53,5643,559,304,Broadway & Waveland Ave,334,Lake Shore Dr & Belmont Ave,Subscriber,Male,1989
21743335,2019-01-01 13:59:52,2019-01-01 14:05:15,1633,323,231,Sheridan Rd & Montrose Ave,254,Pine Grove Ave & Irving Park Rd,Subscriber,Male,1980
21743336,2019-01-01 13:59:56,2019-01-01 14:04:23,1350,267,113,Bissell St & Armitage Ave,94,Clark St & Armitage Ave,Subscriber,Male,1990
21743339,2019-01-01 14:01:13,2019-01-01 14:14:06,4476,773,48,Larrabee St & Kingsbury St,47,State St & Kinzie St,Subscriber,Female,1964
21743353,2019-01-01 14:04:13,2019-01-01 14:16:05,246,712,107,Desplaines St & Jackson Blvd,74,Kingsbury St & Erie St,Subscriber,Male,1956
21743355,2019-01-01 14:05:18,2019-01-01 14:23:17,2842,"1,079.00",171,May St & Cullerton St,84,Milwaukee Ave & Grand Ave,Subscriber,Male,1987
21743356,2019-01-01 14:05:33,2019-01-01 14:18:51,2694,798,26,McClurg Ct & Illinois St,191,Canal St & Monroe St (*),Subscriber,Male,1970
21743357,2019-01-01 14:06:20,2019-01-01 14:15:42,2549,562,67,Sheffield Ave & Fullerton Ave,20,Sheffield Ave & Kingsbury St,Subscriber,Male,1987
21743358,2019-01-01 14:06:40,2019-01-01 14:12:52,6256,372,114,Sheffield Ave & Waveland Ave,303,Broadway & Cornelia Ave,Subscriber,Male,1983
21743359,2019-01-01 14:07:27,2019-01-01 14:21:15,4418,828,53,Wells St & Huron St,43,Michigan Ave & Washington St,Customer,Male,1988
21743360,2019-01-01 14:07:31,2019-01-01 14:12:58,2442,327,114,Sheffield Ave & Waveland Ave,303,Broadway & Cornelia Ave,Subscriber,Female,1984
21743361,2019-01-01 14:07:45,2019-01-01 14:24:07,5965,982,46,Wells St & Walton St,289,Wells St & Concord Ln,Customer,Male,1995
21743363,2019-01-01 14:10:07,2019-01-01 14:32:38,2083,"1,351.00",61,Wood St & Milwaukee Ave,174,Canal St & Madison St,Subscriber,Male,1991
21743364,2019-01-01 14:10:41,2019-01-01 14:17:03,5246,382,20,Sheffield Ave & Kingsbury St,365,Halsted St & North Branch St,Subscriber,Male,1993
21743365,2019-01-01 14:11:19,2019-01-01 14:15:39,6271,260,84,Milwaukee Ave & Grand Ave,112,Green St & Randolph St,Subscriber,Male,1991
21743366,2019-01-01 14:12:11,2019-01-01 14:27:54,6208,943,144,Larrabee St & Webster Ave,310,Damen Ave & Charleston St,Subscriber,Male,1989
21743367,2019-01-01 14:13:46,2019-01-01 14:23:48,4738,602,255,Indiana Ave & Roosevelt Rd,192,Canal St & Adams St,Subscriber,Male,1991
21743368,2019-01-01 14:14:10,2019-01-01 14:29:10,3149,900,376,Artesian Ave & Hubbard St,217,Racine Ave (May St) & Fulton St,Subscriber,Male,1959
21743370,2019-01-01 14:14:40,2019-01-01 14:36:53,1186,"1,333.00",381,Western Ave & Monroe St,19,Loomis St & Taylor St (*),Subscriber,Female,1987
21743371,2019-01-01 14:14:44,2019-01-01 14:21:30,4849,406,365,Halsted St & North Branch St,224,Halsted St & Willow St,Subscriber,Male,1991
21743372,2019-01-01 14:14:56,2019-01-01 14:25:02,3834,606,86,Eckhart Park,112,Green St & Randolph St,Subscriber,Male,1981
21743373,2019-01-01 14:15:18,2019-01-01 14:30:11,2684,893,172,Rush St & Cedar St,329,Lake Shore Dr & Diversey Pkwy,Subscriber,Male,1983
21743374,2019-01-01 14:15:26,2019-01-01 14:23:54,5968,508,212,Wells St & Hubbard St,80,Aberdeen St & Monroe St,Subscriber,Male,1985
21743375,2019-01-01 14:15:25,2019-01-01 14:23:50,6417,505,140,Dearborn Pkwy & Delaware Pl,44,State St & Randolph St,Subscriber,Male,1988
21743376,2019-01-01 14:15:50,2019-01-01 14:21:05,3978,315,308,Seeley Ave & Roscoe St,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1989
21743377,2019-01-01 14:16:35,2019-01-01 14:25:42,975,547,425,Harper Ave & 59th St,416,Dorchester Ave & 49th St,Subscriber,Female,1996
21743378,2019-01-01 14:17:21,2019-01-01 14:27:22,6289,601,247,Shore Dr & 55th St,328,Ellis Ave & 58th St,Subscriber,Male,1989
21743383,2019-01-01 14:18:06,2019-01-01 14:27:01,92,535,158,Milwaukee Ave & Wabansia Ave,504,Campbell Ave & Fullerton Ave,Subscriber,Male,1972
21743385,2019-01-01 14:18:18,2019-01-01 14:24:20,5877,362,332,Burling St (Halsted) & Diversey Pkwy (Temp),299,Halsted St & Roscoe St,Subscriber,Male,1981
