ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
D0763501C5ECF96C,docked_bike,2020-01-09 18:08:06,2020-01-09 18:12:30,Dearborn St & Erie St,110,Sedgwick St & Huron St,111,41.894,-87.6293,41.8947,-87.6384,member
5AF26F16FABBB600,docked_bike,2020-01-31 14:18:33,2020-01-31 14:30:24,Ashland Ave & Wellington Ave,250,Lake Shore Dr & Belmont Ave,334,41.9361,-87.6698,41.9408,-87.6392,member
2A5E16B2B6B3AA04,docked_bike,2020-01-31 17:14:06,2020-01-31 17:18:54,Clark St & Grace St,165,Racine Ave & Belmont Ave,226,41.9508,-87.6592,41.9397,-87.6589,casual
8AC1F81FCAE5E676,docked_bike,2020-01-31 7:35:00,2020-01-31 7:45:09,Kingsbury St & Erie St,74,Michigan Ave & Lake St,52,41.8938,-87.6417,41.886,-87.6241,member
FCE4C291CA3D0B15,docked_bike,2020-01-31 17:48:59,2020-01-31 18:02:35,Wabash Ave & Wacker Pl,194,Kingsbury St & Erie St,74,41.8869,-87.626,41.8938,-87.6417,member
0806BB7E56020E4A,docked_bike,2020-01-24 9:41:32,2020-01-24 9:49:44,Lincoln Ave & Roscoe St,230,Damen Ave & Clybourn Ave,163,41.9433,-87.671,41.9319,-87.6779,member
87D60194D2F6DC1D,docked_bike,2020-01-24 8:12:52,2020-01-24 8:21:58,Spaulding Ave & Armitage Ave,506,Western Ave & Winnebago Ave,116,41.9171,-87.7102,41.9155,-87.687,member
8A4E8B6E2C4E94E0,docked_bike,2020-01-24 15:58:24,2020-01-24 16:09:02,Wells St & Concord Ln,289,Wilton Ave & Diversey Pkwy,13,41.9121,-87.6347,41.9324,-87.6527,member
7A6EC067EB77C94C,docked_bike,2020-01-27 14:38:58,2020-01-27 14:52:47,Ashland Ave & Wellington Ave,250,Wells St & Concord Ln,289,41.9361,-87.6698,41.9121,-87.6347,member
267D1506EB8BAE0B,docked_bike,2020-01-27 8:13:14,2020-01-27 8:22:55,Spaulding Ave & Armitage Ave,506,Western Ave & Winnebago Ave,116,41.9171,-87.7102,41.9155,-87.687,member
8DC4D9FFF66B55FE,docked_bike,2020-01-27 8:00:38,2020-01-27 8:20:08,Ashland Ave & Grand Ave,277,Ashland Ave & Wellington Ave,250,41.8911,-87.6666,41.9361,-87.6698,member
372B495263B320A9,docked_bike,2020-01-13 10:49:13,2020-01-13 10:54:38,Benson Ave & Church St,596,Sheridan Rd & Noyes St (NU),604,42.0482,-87.6835,42.0582,-87.6774,member
0DCE6E56938E2FCC,docked_bike,2020-01-04 15:54:52,2020-01-04 16:21:22,Burling St (Halsted) & Diversey Pkwy (Temp),332,Clark St & Bryn Mawr Ave,460,41.9331,-87.6478,41.9836,-87.6692,member
2BDC601567DE2294,docked_bike,2020-01-04 12:22:25,2020-01-04 12:53:19,Broadway & Ridge Ave,461,Burling St (Halsted) & Diversey Pkwy (Temp),332,41.984,-87.6603,41.9331,-87.6478,member
9DCBC78175B149AF,docked_bike,2020-01-13 16:26:42,2020-01-13 16:34:44,Orleans St & Merchandise Mart Plaza,100,Canal St & Adams St,192,41.8882,-87.6364,41.8793,-87.6399,member
0561B74D876796D7,docked_bike,2020-01-13 7:20:28,2020-01-13 7:29:14,Canal St & Adams St,192,Orleans St & Merchandise Mart Plaza,100,41.8793,-87.6399,41.8882,-87.6364,member
78B44387EA6E7408,docked_bike,2020-01-21 7:19:03,2020-01-21 7:29:32,Canal St & Adams St,192,Orleans St & Merchandise Mart Plaza,100,41.8793,-87.6399,41.8882,-87.6364,member
C9CA93E8F204051F,docked_bike,2020-01-21 16:27:13,2020-01-21 16:37:29,Orleans St & Merchandise Mart Plaza,100,Canal St & Adams St,192,41.8882,-87.6364,41.8793,-87.6399,member
C47CEAE3DDE43788,docked_bike,2020-01-05 12:13:28,2020-01-05 12:18:20,Dearborn St & Erie St,110,Kingsbury St & Kinzie St,133,41.894,-87.6293,41.8892,-87.6385,member
C616CB5750A47EC6,docked_bike,2020-01-10 7:13:48,2020-01-10 7:18:30,Kingsbury St & Kinzie St,133,LaSalle St & Washington St,98,41.8892,-87.6385,41.8827,-87.6325,member
EBDA6F8244455715,docked_bike,2020-01-14 7:20:05,2020-01-14 7:29:49,Canal St & Adams St,192,Orleans St & Merchandise Mart Plaza,100,41.8793,-87.6399,41.8882,-87.6364,member
7D7303E0159868EE,docked_bike,2020-01-14 16:46:35,2020-01-14 16:58:02,Orleans St & Merchandise Mart Plaza,100,Canal St & Adams St,192,41.8882,-87.6364,41.8793,-87.6399,member
5154775B7709D7D2,docked_bike,2020-01-31 14:43:50,2020-01-31 15:30:51,Streeter Dr & Grand Ave,35,Canal St & Jackson Blvd,75,41.8923,-87.612,41.8772,-87.6394,casual
F4D7E807D3C7ECB1,docked_bike,2020-01-31 16:26:26,2020-01-31 16:35:31,Orleans St & Merchandise Mart Plaza,100,Canal St & Adams St,192,41.8882,-87.6364,41.8793,-87.6399,member
